Date,Description,Merchant,Category,Amount
2023-05-27,Walgreens purchase,Walgreens,Health,61.83
2023-05-14,Best Buy purchase,Best Buy,Shopping,434.02
2023-06-02,Uber purchase,Uber,Transport,42.67
2023-01-06,Marriott purchase,Marriott,Travel,151.27
2023-11-07,Walgreens purchase,Walgreens,Health,334.13
2023-04-29,Udemy purchase,Udemy,Education,262.52
2023-01-07,Gift Shop purchase,Gift Shop,Misc,466.51
2023-05-09,Gift Shop purchase,Gift Shop,Misc,362.83
2023-02-06,Electric Co purchase,Electric Co,Utilities,122.06
2023-07-30,Udemy purchase,Udemy,Education,64.23
2024-04-06,Uber purchase,Uber,Transport,446.8
2023-11-05,Coursera purchase,Coursera,Education,287.48
2023-06-01,Delta purchase,Delta,Travel,449.22
2023-02-19,McDonald's purchase,McDonald's,Dining,432.81
2024-01-22,Expedia purchase,Expedia,Travel,64.49
2024-01-28,Spotify purchase,Spotify,Entertainment,241.85
2023-09-20,Airbnb purchase,Airbnb,Travel,294.82
2023-10-24,Skillshare purchase,Skillshare,Education,159.38
2023-05-14,Coursera purchase,Coursera,Education,379.39
2023-07-04,Chipotle purchase,Chipotle,Dining,153.4
2023-09-22,Coursera purchase,Coursera,Education,269.27
2023-10-16,ExxonMobil purchase,ExxonMobil,Transport,381.83
2024-06-14,Hulu purchase,Hulu,Entertainment,458.89
2024-03-06,Shell purchase,Shell,Transport,457.65
2024-06-11,Health Clinic purchase,Health Clinic,Health,122.99
2023-09-17,Chipotle purchase,Chipotle,Dining,140.22
2024-01-31,Chipotle purchase,Chipotle,Dining,239.8
2023-06-05,Health Clinic purchase,Health Clinic,Health,355.59
2023-08-22,Expedia purchase,Expedia,Travel,86.68
2023-04-15,eBay purchase,eBay,Shopping,65.9
2023-05-16,Udemy purchase,Udemy,Education,113.65
2024-06-22,Electric Co purchase,Electric Co,Utilities,130.97
2024-01-22,Chipotle purchase,Chipotle,Dining,386.38
2023-12-20,Coursera purchase,Coursera,Education,392.02
2023-08-01,Gas Supply purchase,Gas Supply,Utilities,207.16
2024-03-25,GNC purchase,GNC,Health,44.5
2023-12-28,GNC purchase,GNC,Health,312.43
2024-01-20,Coursera purchase,Coursera,Education,404.73
2024-05-19,Expedia purchase,Expedia,Travel,289.31
2023-11-25,Local Store purchase,Local Store,Misc,185.03
2024-02-13,Target purchase,Target,Shopping,297.42
2023-05-01,Walmart purchase,Walmart,Groceries,64.06
2024-03-09,Udemy purchase,Udemy,Education,295.99
2024-04-05,Spotify purchase,Spotify,Entertainment,293.04
2024-03-18,Hulu purchase,Hulu,Entertainment,352.63
2024-03-28,Gas Supply purchase,Gas Supply,Utilities,77.47
2024-05-01,Amazon purchase,Amazon,Shopping,67.49
2024-03-20,Udemy purchase,Udemy,Education,148.52
2023-10-02,ExxonMobil purchase,ExxonMobil,Transport,128.06
2024-01-22,Amazon purchase,Amazon,Shopping,280.0
2024-05-07,ExxonMobil purchase,ExxonMobil,Transport,125.73
2024-03-23,McDonald's purchase,McDonald's,Dining,458.48
2024-02-28,Marriott purchase,Marriott,Travel,325.93
2024-03-26,Internet Provider purchase,Internet Provider,Utilities,205.72
2023-08-13,Expedia purchase,Expedia,Travel,13.43
2023-04-25,Lyft purchase,Lyft,Transport,463.38
2023-04-04,ExxonMobil purchase,ExxonMobil,Transport,116.37
2023-08-02,CVS Pharmacy purchase,CVS Pharmacy,Health,11.39
2023-12-06,Shell purchase,Shell,Transport,383.18
2024-06-30,Trader Joe's purchase,Trader Joe's,Groceries,384.89
2023-11-18,Trader Joe's purchase,Trader Joe's,Groceries,284.94
2024-04-24,Whole Foods purchase,Whole Foods,Groceries,255.32
2024-06-02,Target purchase,Target,Shopping,88.49
2024-03-05,Expedia purchase,Expedia,Travel,92.26
2024-02-25,Electric Co purchase,Electric Co,Utilities,134.93
2023-01-02,AMC Theatres purchase,AMC Theatres,Entertainment,389.49
2024-06-13,Gas Supply purchase,Gas Supply,Utilities,314.92
2024-03-05,Target purchase,Target,Shopping,341.84
2023-04-17,Expedia purchase,Expedia,Travel,355.01
2024-05-05,Best Buy purchase,Best Buy,Shopping,283.72
2023-11-24,Netflix purchase,Netflix,Entertainment,220.4
2023-06-15,Hulu purchase,Hulu,Entertainment,43.81
2023-07-15,Expedia purchase,Expedia,Travel,379.83
2023-10-28,CVS Pharmacy purchase,CVS Pharmacy,Health,109.55
2023-05-13,Best Buy purchase,Best Buy,Shopping,73.09
2024-04-23,Whole Foods purchase,Whole Foods,Groceries,103.09
2023-02-17,Costco purchase,Costco,Groceries,66.31
2023-07-18,GNC purchase,GNC,Health,175.58
2023-05-03,AMC Theatres purchase,AMC Theatres,Entertainment,160.99
2024-02-12,Target purchase,Target,Shopping,303.75
2023-08-19,Target purchase,Target,Shopping,15.4
2023-01-05,Cash Withdrawal purchase,Cash Withdrawal,Misc,225.95
2023-10-15,Starbucks purchase,Starbucks,Dining,58.03
2024-04-03,ExxonMobil purchase,ExxonMobil,Transport,323.65
2024-07-02,ExxonMobil purchase,ExxonMobil,Transport,291.73
2024-06-11,GNC purchase,GNC,Health,463.71
2024-06-05,Spotify purchase,Spotify,Entertainment,321.69
2023-06-16,Trader Joe's purchase,Trader Joe's,Groceries,380.6
2023-07-13,Donation Center purchase,Donation Center,Misc,306.77
2023-04-02,Water Works purchase,Water Works,Utilities,82.01
2024-02-09,Whole Foods purchase,Whole Foods,Groceries,158.9
2023-01-15,Internet Provider purchase,Internet Provider,Utilities,316.96
2023-04-21,Expedia purchase,Expedia,Travel,46.45
2023-07-17,Walgreens purchase,Walgreens,Health,211.8
2023-09-10,Delta purchase,Delta,Travel,137.85
2023-07-02,Walgreens purchase,Walgreens,Health,210.99
2023-07-23,edX purchase,edX,Education,110.85
2023-08-06,Lyft purchase,Lyft,Transport,167.5
2023-08-10,Coursera purchase,Coursera,Education,49.2
